zcta,year,month,day_of_month,hour_of_day,day_of_year,week_of_year,day_of_week,is_weekend,Call_counts
94102,2017,10,31,0,304,44,1,False,1.1004956120434934
94102,2017,10,31,1,304,44,1,False,1.1314711248447522
94102,2017,10,31,2,304,44,1,False,1.163318501543332
94102,2017,10,31,3,304,44,1,False,1.1960622823836615
94102,2017,10,31,4,304,44,1,False,1.2297276983413707
94102,2017,10,31,5,304,44,1,False,1.2643406905652144
94102,2017,10,31,6,304,44,1,False,1.299927930366228
94102,2017,10,31,7,304,44,1,False,1.3365168397695137
94102,2017,10,31,8,304,44,1,False,1.3741356126444955
94102,2017,10,31,9,304,44,1,False,1.4128132364299257
94102,2017,10,31,10,304,44,1,False,1.4525795144703813
94102,2017,10,31,11,304,44,1,False,1.4934650889814638
94102,2017,10,31,12,304,44,1,False,1.535501464661397
94102,2017,10,31,13,304,44,1,False,1.5787210329672183
94102,2017,10,31,14,304,44,1,False,1.6231570970742688
94102,2017,10,31,15,304,44,1,False,1.6688438975382136
94102,2017,10,31,16,304,44,1,False,1.71581663867937
94102,2017,10,31,17,304,44,1,False,1.7641115157096703
94102,2017,10,31,18,304,44,1,False,1.813765742623165
94102,2017,10,31,19,304,44,1,False,1.8648175808715557
94102,2017,10,31,20,304,44,1,False,1.9173063688468561
94102,2017,10,31,21,304,44,1,False,1.9712725521938945
94102,2017,10,31,22,304,44,1,False,2.0267577149760236
94102,2017,10,31,23,304,44,1,False,2.083804611718042
94102,2017,11,1,0,305,44,2,False,1.1717630512532673
94102,2017,11,1,1,305,44,2,False,1.204744519781561
94102,2017,11,1,2,305,44,2,False,1.238654313592956
94102,2017,11,1,3,305,44,2,False,1.2735185621434686
94102,2017,11,1,4,305,44,2,False,1.3093641303516557
94102,2017,11,1,5,305,44,2,False,1.3462186392995876
94102,2017,11,1,6,305,44,2,False,1.3841104875164885
94102,2017,11,1,7,305,44,2,False,1.4230688728614442
94102,2017,11,1,8,305,44,2,False,1.463123815022041
94102,2017,11,1,9,305,44,2,False,1.5043061786462681
94102,2017,11,1,10,305,44,2,False,1.5466476971255154
94102,2017,11,1,11,305,44,2,False,1.5901809970469831
94102,2017,11,1,12,305,44,2,False,1.6349396233343547
94102,2017,11,1,13,305,44,2,False,1.680958065096099
94102,2017,11,1,14,305,44,2,False,1.72827178220132
94102,2017,11,1,15,305,44,2,False,1.776917232603639
94102,2017,11,1,16,305,44,2,False,1.8269319004341509
94102,2017,11,1,17,305,44,2,False,1.8783543248851167
94102,2017,11,1,18,305,44,2,False,1.9312241299066373
94102,2017,11,1,19,305,44,2,False,1.9855820547391976
94102,2017,11,1,20,305,44,2,False,2.0414699853056057
94102,2017,11,1,21,305,44,2,False,2.098930986486517
94102,2017,11,1,22,305,44,2,False,2.1580093353044156
94102,2017,11,1,23,305,44,2,False,2.218750555041615
94102,2017,11,2,0,306,44,3,False,1.1773480762160689
94102,2017,11,2,1,306,44,3,False,1.210486745745745
94102,2017,11,2,2,306,44,3,False,1.244558165275512
94102,2017,11,2,3,306,44,3,False,1.2795885888033425
94102,2017,11,2,4,306,44,3,False,1.315605009295218
94102,2017,11,2,5,306,44,3,False,1.3526351794847686
94102,2017,11,2,6,306,44,3,False,1.3907076332583574
94102,2017,11,2,7,306,44,3,False,1.4298517076420907
94102,2017,11,2,8,306,44,3,False,1.4700975654076904
94102,2017,11,2,9,306,44,3,False,1.5114762183146548
94102,2017,11,2,10,306,44,3,False,1.5540195510066106
94102,2017,11,2,11,306,44,3,False,1.5977603455802731
94102,2017,11,2,12,306,44,3,False,1.642732306845948
94102,2017,11,2,13,306,44,3,False,1.6889700882990348
94102,2017,11,2,14,306,44,3,False,1.7365093188225476
94102,2017,11,2,15,306,44,3,False,1.785386630141229
94102,2017,11,2,16,306,44,3,False,1.8356396850484122
94102,2017,11,2,17,306,44,3,False,1.8873072064273784
94102,2017,11,2,18,306,44,3,False,1.940429007089577
94102,2017,11,2,19,306,44,3,False,1.9950460204526994
94102,2017,11,2,20,306,44,3,False,2.0512003320822405
94102,2017,11,2,21,306,44,3,False,2.108935212120861
94102,2017,11,2,22,306,44,3,False,2.1682951486305337
94102,2017,11,2,23,306,44,3,False,2.2293258818731645
94102,2017,11,3,0,307,44,4,False,1.182959721325155
94102,2017,11,3,1,307,44,4,False,1.2162563411301528
94102,2017,11,3,2,307,44,4,False,1.2504901567419504
94102,2017,11,3,3,307,44,4,False,1.2856875472940876
94102,2017,11,3,4,307,44,4,False,1.3218756344102887
94102,2017,11,3,5,307,44,4,False,1.359082303103239
94102,2017,11,3,6,307,44,4,False,1.3973362232616002
94102,2017,11,3,7,307,44,4,False,1.4366668717418156
94102,2017,11,3,8,307,44,4,False,1.4771045550817326
94102,2017,11,3,9,307,44,4,False,1.518680432853541
94102,2017,11,3,10,307,44,4,False,1.5614265416740247
94102,2017,11,3,11,307,44,4,False,1.6053758198906263
94102,2017,11,3,12,307,44,4,False,1.6505621329623479
94102,2017,11,3,13,307,44,4,False,1.6970202995550445
94102,2017,11,3,14,307,44,4,False,1.7447861183712177
94102,2017,11,3,15,307,44,4,False,1.793896395734986
94102,2017,11,3,16,307,44,4,False,1.8443889739534851
94102,2017,11,3,17,307,44,4,False,1.896302760476551
94102,2017,11,3,18,307,44,4,False,1.9496777578771602
94102,2017,11,3,19,307,44,4,False,2.004555094675725
94102,2017,11,3,20,307,44,4,False,2.060977057031993
94102,2017,11,3,21,307,44,4,False,2.11898712132898
94102,2017,11,3,22,307,44,4,False,2.1786299876740336
94102,2017,11,3,23,307,44,4,False,2.2399516143428513
94102,2017,11,4,0,308,44,5,True,1.1966996115824122
94102,2017,11,4,1,308,44,5,True,1.2303829663656272
94102,2017,11,4,2,308,44,5,True,1.2650144023368621
94102,2017,11,4,3,308,44,5,True,1.3006206050191254
94102,2017,11,4,4,308,44,5,True,1.3372290110495153
94102,2017,11,4,5,308,44,5,True,1.3748678293207341
94102,2017,11,4,6,308,44,5,True,1.4135660627176703
94102,2017,11,4,7,308,44,5,True,1.4533535304657976
94102,2017,11,4,8,308,44,5,True,1.494260891108612
94102,2017,11,4,9,308,44,5,True,1.536319666131811
94102,2017,11,4,10,308,44,5,True,1.579562264252421
94102,2017,11,4,11,308,44,5,True,1.6240220063915856
94102,2017,11,4,12,308,44,5,True,1.669733151350263
94102,2017,11,4,13,308,44,5,True,1.71673092220761
94102,2017,11,4,14,308,44,5,True,1.7650515334624024
94102,2017,11,4,15,308,44,5,True,1.814732218938398
94102,2017,11,4,16,308,44,5,True,1.86581126047515
94102,2017,11,4,17,308,44,5,True,1.9183280174263775
94102,2017,11,4,18,308,44,5,True,1.9723229569886223
