zcta,year,month,day_of_month,hour_of_day,day_of_year,week_of_year,day_of_week,is_weekend,is_holiday,Call_counts
94102,2017,11,5,0,309,44,6,True,False,1.195554164611004
94102,2017,11,5,1,309,44,6,True,False,1.2292829242819192
94102,2017,11,5,2,309,44,6,True,False,1.2639632336714612
94102,2017,11,5,3,309,44,6,True,False,1.2996219377296507
94102,2017,11,5,4,309,44,6,True,False,1.3362866387513692
94102,2017,11,5,5,309,44,6,True,False,1.3739857177425459
94102,2017,11,5,6,309,44,6,True,False,1.4127483563889403
94102,2017,11,5,7,309,44,6,True,False,1.452604559644798
94102,2017,11,5,8,309,44,6,True,False,1.4935851789587515
94102,2017,11,5,9,309,44,6,True,False,1.5357219361549912
94102,2017,11,5,10,309,44,6,True,False,1.5790474479880565
94102,2017,11,5,11,309,44,6,True,False,1.623595251390582
94102,2017,11,5,12,309,44,6,True,False,1.6693998294331085
94102,2017,11,5,13,309,44,6,True,False,1.716496638016379
94102,2017,11,5,14,309,44,6,True,False,1.7649221333166494
94102,2017,11,5,15,309,44,6,True,False,1.814713800005307
94102,2017,11,5,16,309,44,6,True,False,1.865910180264488
94102,2017,11,5,17,309,44,6,True,False,1.9185509036215367
94102,2017,11,5,18,309,44,6,True,False,1.972676717624889
94102,2017,11,5,19,309,44,6,True,False,2.028329519385509
94102,2017,11,5,20,309,44,6,True,False,2.0855523880081424
94102,2017,11,5,21,309,44,6,True,False,2.14438961793754
94102,2017,11,5,22,309,44,6,True,False,2.2048867532452947
94102,2017,11,5,23,309,44,6,True,False,2.2670906228842687
94102,2017,11,6,0,310,45,0,False,False,1.1400740672805592
94102,2017,11,6,1,310,45,0,False,False,1.1722376323958716
94102,2017,11,6,2,310,45,0,False,False,1.2053085902417235
94102,2017,11,6,3,310,45,0,False,False,1.2393125400191067
94102,2017,11,6,4,310,45,0,False,False,1.2742758031290276
94102,2017,11,6,5,310,45,0,False,False,1.3102254435471896
94102,2017,11,6,6,310,45,0,False,False,1.3471892887733075
94102,2017,11,6,7,310,45,0,False,False,1.3851959513715268
94102,2017,11,6,8,310,45,0,False,False,1.4242748511185213
94102,2017,11,6,9,310,45,0,False,False,1.4644562377764487
94102,2017,11,6,10,310,45,0,False,False,1.5057712145082693
94102,2017,11,6,11,310,45,0,False,False,1.5482517619538605
94102,2017,11,6,12,310,45,0,False,False,1.5919307629851556
94102,2017,11,6,13,310,45,0,False,False,1.6368420281597733
94102,2017,11,6,14,310,45,0,False,False,1.68302032189272
94102,2017,11,6,15,310,45,0,False,False,1.730501389366468
94102,2017,11,6,16,310,45,0,False,False,1.7793219842000931
94102,2017,11,6,17,310,45,0,False,False,1.8295198968992539
94102,2017,11,6,18,310,45,0,False,False,1.8811339841085528
94102,2017,11,6,19,310,45,0,False,False,1.9342041986892808
94102,2017,11,6,20,310,45,0,False,False,1.988771620645686
94102,2017,11,6,21,310,45,0,False,False,2.044878488923758
94102,2017,11,6,22,310,45,0,False,False,2.102568234106968
94102,2017,11,6,23,310,45,0,False,False,2.161885512034705
94102,2017,11,7,0,311,45,1,False,False,1.1458670919485434
94102,2017,11,7,1,311,45,1,False,False,1.1781940888368176
94102,2017,11,7,2,311,45,1,False,False,1.2114330891634988
94102,2017,11,7,3,311,45,1,False,False,1.2456098222060423
94102,2017,11,7,4,311,45,1,False,False,1.2807507431116116
94102,2017,11,7,5,311,45,1,False,False,1.3168830533752902
94102,2017,11,7,6,311,45,1,False,False,1.3540347218958446
94102,2017,11,7,7,311,45,1,False,False,1.3922345066255974
94102,2017,11,7,8,311,45,1,False,False,1.431511976831064
94102,2017,11,7,9,311,45,1,False,False,1.4718975359816249
94102,2017,11,7,10,311,45,1,False,False,1.5134224452838225
94102,2017,11,7,11,311,45,1,False,False,1.5561188478798154
94102,2017,11,7,12,311,45,1,False,False,1.6000197937283016
94102,2017,11,7,13,311,45,1,False,False,1.6451592651874878
94102,2017,11,7,14,311,45,1,False,False,1.6915722033197749
94102,2017,11,7,15,311,45,1,False,False,1.7392945349385742
94102,2017,11,7,16,311,45,1,False,False,1.7883632004180403
94102,2017,11,7,17,311,45,1,False,False,1.8388161822876112
94102,2017,11,7,18,311,45,1,False,False,1.89069253463301
94102,2017,11,7,19,311,45,1,False,False,1.94403241332682
94102,2017,11,7,20,311,45,1,False,False,1.998877107111902
94102,2017,11,7,21,311,45,1,False,False,2.0552690695617533
94102,2017,11,7,22,311,45,1,False,False,2.113251951942385
94102,2017,11,7,23,311,45,1,False,False,2.1728706370015844
94102,2017,11,8,0,312,45,2,False,False,1.1516895525415842
94102,2017,11,8,1,312,45,2,False,False,1.1841808116438586
