GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_VC03,Estimate; SEX AND AGE - Total population
HC02_VC03,Margin of Error; SEX AND AGE - Total population
HC03_VC03,Percent; SEX AND AGE - Total population
HC04_VC03,Percent Margin of Error; SEX AND AGE - Total population
HC01_VC04,Estimate; SEX AND AGE - Total population - Male
HC02_VC04,Margin of Error; SEX AND AGE - Total population - Male
HC03_VC04,Percent; SEX AND AGE - Total population - Male
HC04_VC04,Percent Margin of Error; SEX AND AGE - Total population - Male
HC01_VC05,Estimate; SEX AND AGE - Total population - Female
HC02_VC05,Margin of Error; SEX AND AGE - Total population - Female
HC03_VC05,Percent; SEX AND AGE - Total population - Female
HC04_VC05,Percent Margin of Error; SEX AND AGE - Total population - Female
HC01_VC08,Estimate; SEX AND AGE - Under 5 years
HC02_VC08,Margin of Error; SEX AND AGE - Under 5 years
HC03_VC08,Percent; SEX AND AGE - Under 5 years
HC04_VC08,Percent Margin of Error; SEX AND AGE - Under 5 years
HC01_VC09,Estimate; SEX AND AGE - 5 to 9 years
HC02_VC09,Margin of Error; SEX AND AGE - 5 to 9 years
HC03_VC09,Percent; SEX AND AGE - 5 to 9 years
HC04_VC09,Percent Margin of Error; SEX AND AGE - 5 to 9 years
HC01_VC10,Estimate; SEX AND AGE - 10 to 14 years
HC02_VC10,Margin of Error; SEX AND AGE - 10 to 14 years
HC03_VC10,Percent; SEX AND AGE - 10 to 14 years
HC04_VC10,Percent Margin of Error; SEX AND AGE - 10 to 14 years
HC01_VC11,Estimate; SEX AND AGE - 15 to 19 years
HC02_VC11,Margin of Error; SEX AND AGE - 15 to 19 years
HC03_VC11,Percent; SEX AND AGE - 15 to 19 years
HC04_VC11,Percent Margin of Error; SEX AND AGE - 15 to 19 years
HC01_VC12,Estimate; SEX AND AGE - 20 to 24 years
HC02_VC12,Margin of Error; SEX AND AGE - 20 to 24 years
HC03_VC12,Percent; SEX AND AGE - 20 to 24 years
HC04_VC12,Percent Margin of Error; SEX AND AGE - 20 to 24 years
HC01_VC13,Estimate; SEX AND AGE - 25 to 34 years
HC02_VC13,Margin of Error; SEX AND AGE - 25 to 34 years
HC03_VC13,Percent; SEX AND AGE - 25 to 34 years
HC04_VC13,Percent Margin of Error; SEX AND AGE - 25 to 34 years
HC01_VC14,Estimate; SEX AND AGE - 35 to 44 years
HC02_VC14,Margin of Error; SEX AND AGE - 35 to 44 years
HC03_VC14,Percent; SEX AND AGE - 35 to 44 years
HC04_VC14,Percent Margin of Error; SEX AND AGE - 35 to 44 years
